1,1,6,6,1,4.0
2,1,1,2,1,3.0
3,1,2,4,1,3.5
4,2,1,6,1,3.0
5,3,5,1,1,4.5
6,4,1,6,2,3.0
7,4,4,7,2,4.5
8,5,4,10,2,4.5
9,6,2,1,1,3.5
10,6,3,7,2,4.0
11,7,1,4,1,3.0
12,7,3,8,2,4.0
13,7,6,10,2,4.0
14,8,3,3,1,4.0
15,8,6,7,2,4.0
16,9,6,1,2,4.0
17,9,3,6,1,4.0
18,9,5,6,2,4.5
19,10,6,2,1,4.0
20,11,1,7,2,3.0
21,12,6,4,2,4.0
22,12,1,6,2,3.0
23,13,1,8,1,3.0
24,13,3,5,2,4.0
25,13,4,2,2,4.5
26,14,6,2,1,4.0
27,14,1,4,1,3.0
28,14,6,3,2,4.0
29,15,1,10,1,3.0
30,15,1,3,1,3.0
31,16,3,2,2,4.0
32,17,3,1,1,4.0
33,18,4,5,1,4.5
34,19,1,8,1,3.0
35,20,3,2,1,4.0
36,20,3,10,2,4.0
37,21,2,2,2,3.5
38,22,6,9,1,4.0
39,23,1,10,1,3.0
40,23,6,8,2,4.0
41,24,1,6,1,3.0
42,24,3,1,1,4.0
43,24,2,7,2,3.5
44,25,2,2,2,3.5
45,25,2,6,2,3.5
46,26,2,5,1,3.5
47,26,6,7,2,4.0
48,26,2,5,2,3.5
49,27,2,10,1,3.5
50,27,1,9,1,3.0
51,27,3,4,1,4.0
52,28,1,3,2,3.0
53,29,1,6,2,3.0
54,29,6,7,1,4.0
55,30,1,6,2,3.0
56,31,3,4,2,4.0
57,32,2,5,1,3.5
58,32,1,10,1,3.0
59,33,1,3,2,3.0
60,33,1,8,1,3.0
61,33,6,3,1,4.0
62,34,4,3,1,4.5
63,35,2,3,1,3.5
64,36,5,4,2,4.5
65,37,5,1,1,4.5
66,37,3,6,2,4.0
67,38,2,6,1,3.5
68,39,3,3,1,4.0
69,40,2,6,2,3.5
70,40,6,4,2,4.0
71,41,3,2,2,4.0
72,42,5,3,2,4.5
73,42,3,8,1,4.0
74,42,2,1,2,3.5
75,43,1,9,1,3.0
76,43,1,4,2,3.0
77,44,5,5,1,4.5
78,44,3,9,1,4.0
79,44,4,8,2,4.5
80,45,2,1,2,3.5
81,46,2,4,2,3.5
82,46,5,10,2,4.5
83,47,4,1,1,4.5
84,47,1,9,1,3.0
85,48,2,4,2,3.5
86,48,3,6,2,4.0
87,49,1,4,2,3.0
88,50,4,2,2,4.5
89,51,4,7,1,4.5
90,51,5,5,2,4.5
91,52,6,10,1,4.0
92,52,1,5,1,3.0
93,53,4,8,2,4.5
94,53,1,4,1,3.0
95,53,1,8,1,3.0
96,54,1,2,2,3.0
97,54,3,4,2,4.0
98,55,1,3,1,3.0
99,55,1,10,2,3.0
100,56,6,1,2,4.0
101,57,5,7,1,4.5
102,58,2,3,2,3.5
103,58,6,2,2,4.0
104,58,3,10,1,4.0
105,59,3,9,1,4.0
106,59,1,4,2,3.0
